character,year,caught,cumulative_caught,color
Daphne,1969,0,0,#7c68ae
Daphne,1970,0,0,#7c68ae
Daphne,1972,0,0,#7c68ae
Daphne,1973,0,0,#7c68ae
Daphne,1976,1,1,#7c68ae
Daphne,1977,0,1,#7c68ae
Daphne,1978,0,1,#7c68ae
Daphne,1979,1,2,#7c68ae
Daphne,1980,0,2,#7c68ae
Daphne,1983,2,4,#7c68ae
Daphne,1984,0,4,#7c68ae
Daphne,1985,0,4,#7c68ae
Daphne,1988,1,5,#7c68ae
Daphne,1989,0,5,#7c68ae
Daphne,1990,0,5,#7c68ae
Daphne,1991,0,5,#7c68ae
Daphne,1997,0,5,#7c68ae
Daphne,1998,0,5,#7c68ae
Daphne,1999,1,6,#7c68ae
Daphne,2000,0,6,#7c68ae
Daphne,2001,0,6,#7c68ae
Daphne,2002,2,8,#7c68ae
Daphne,2003,2,10,#7c68ae
Daphne,2004,2,12,#7c68ae
Daphne,2005,1,13,#7c68ae
Daphne,2006,0,13,#7c68ae
Daphne,2007,0,13,#7c68ae
Daphne,2008,0,13,#7c68ae
Daphne,2009,0,13,#7c68ae
Daphne,2010,0,13,#7c68ae
Daphne,2011,0,13,#7c68ae
Daphne,2012,1,14,#7c68ae
Daphne,2013,1,15,#7c68ae
Daphne,2014,0,15,#7c68ae
Daphne,2015,4,19,#7c68ae
Daphne,2016,2,21,#7c68ae
Daphne,2017,3,24,#7c68ae
Daphne,2018,1,25,#7c68ae
Daphne,2019,2,27,#7c68ae
Daphne,2020,2,29,#7c68ae
Daphne,2021,0,29,#7c68ae
Fred,1969,5,5,#76a2ca
Fred,1970,3,8,#76a2ca
Fred,1972,6,14,#76a2ca
Fred,1973,1,15,#76a2ca
Fred,1976,6,21,#76a2ca
Fred,1977,2,23,#76a2ca
Fred,1978,3,26,#76a2ca
Fred,1979,3,29,#76a2ca
Fred,1980,0,29,#76a2ca
Fred,1984,1,30,#76a2ca
Fred,1988,2,32,#76a2ca
Fred,1989,0,32,#76a2ca
Fred,1990,0,32,#76a2ca
Fred,1991,0,32,#76a2ca
Fred,1997,0,32,#76a2ca
Fred,1998,0,32,#76a2ca
Fred,1999,1,33,#76a2ca
Fred,2000,1,34,#76a2ca
Fred,2001,0,34,#76a2ca
Fred,2002,3,37,#76a2ca
Fred,2003,5,42,#76a2ca
Fred,2004,3,45,#76a2ca
Fred,2005,5,50,#76a2ca
Fred,2006,0,50,#76a2ca
Fred,2007,0,50,#76a2ca
Fred,2008,0,50,#76a2ca
Fred,2009,0,50,#76a2ca
Fred,2010,9,59,#76a2ca
Fred,2011,11,70,#76a2ca
Fred,2012,9,79,#76a2ca
Fred,2013,11,90,#76a2ca
Fred,2014,1,91,#76a2ca
Fred,2015,10,101,#76a2ca
Fred,2016,2,103,#76a2ca
Fred,2017,11,114,#76a2ca
Fred,2018,2,116,#76a2ca
Fred,2019,5,121,#76a2ca
Fred,2020,11,132,#76a2ca
Fred,2021,0,132,#76a2ca
Scooby,1969,7,7,#966a00
Scooby,1970,6,13,#966a00
Scooby,1972,5,18,#966a00
Scooby,1973,3,21,#966a00
Scooby,1976,8,29,#966a00
Scooby,1977,1,30,#966a00
Scooby,1978,11,41,#966a00
Scooby,1979,7,48,#966a00
Scooby,1980,1,49,#966a00
Scooby,1981,0,49,#966a00
Scooby,1982,7,56,#966a00
Scooby,1983,12,68,#966a00
Scooby,1984,10,78,#966a00
Scooby,1985,4,82,#966a00
Scooby,1987,0,82,#966a00
Scooby,1988,8,90,#966a00
Scooby,1989,7,97,#966a00
Scooby,1990,4,101,#966a00
Scooby,1991,4,105,#966a00
Scooby,1994,0,105,#966a00
Scooby,1997,0,105,#966a00
Scooby,1998,0,105,#966a00
Scooby,1999,0,105,#966a00
Scooby,2000,1,106,#966a00
Scooby,2001,1,107,#966a00
Scooby,2002,3,110,#966a00
Scooby,2003,5,115,#966a00
Scooby,2004,4,119,#966a00
Scooby,2005,3,122,#966a00
Scooby,2006,1,123,#966a00
Scooby,2007,1,124,#966a00
Scooby,2008,1,125,#966a00
Scooby,2009,2,127,#966a00
Scooby,2010,5,132,#966a00
Scooby,2011,2,134,#966a00
Scooby,2012,3,137,#966a00
Scooby,2013,5,142,#966a00
Scooby,2014,2,144,#966a00
Scooby,2015,3,147,#966a00
Scooby,2016,1,148,#966a00
Scooby,2017,4,152,#966a00
Scooby,2018,2,154,#966a00
Scooby,2019,3,157,#966a00
Scooby,2020,2,159,#966a00
Scooby,2021,1,160,#966a00
Shaggy,1969,5,5,#b2bb1b
Shaggy,1970,5,10,#b2bb1b
Shaggy,1972,4,14,#b2bb1b
Shaggy,1973,2,16,#b2bb1b
Shaggy,1976,5,21,#b2bb1b
Shaggy,1977,4,25,#b2bb1b
Shaggy,1978,1,26,#b2bb1b
Shaggy,1979,4,30,#b2bb1b
Shaggy,1980,1,31,#b2bb1b
Shaggy,1981,0,31,#b2bb1b
Shaggy,1982,6,37,#b2bb1b
Shaggy,1983,2,39,#b2bb1b
Shaggy,1984,2,41,#b2bb1b
Shaggy,1985,0,41,#b2bb1b
Shaggy,1987,0,41,#b2bb1b
Shaggy,1988,2,43,#b2bb1b
Shaggy,1989,1,44,#b2bb1b
Shaggy,1990,0,44,#b2bb1b
Shaggy,1991,2,46,#b2bb1b
Shaggy,1994,0,46,#b2bb1b
Shaggy,1997,0,46,#b2bb1b
Shaggy,1998,0,46,#b2bb1b
Shaggy,1999,0,46,#b2bb1b
Shaggy,2000,0,46,#b2bb1b
Shaggy,2001,0,46,#b2bb1b
Shaggy,2002,0,46,#b2bb1b
Shaggy,2003,5,51,#b2bb1b
Shaggy,2004,1,52,#b2bb1b
Shaggy,2005,4,56,#b2bb1b
Shaggy,2006,1,57,#b2bb1b
Shaggy,2007,0,57,#b2bb1b
Shaggy,2008,0,57,#b2bb1b
Shaggy,2009,1,58,#b2bb1b
Shaggy,2010,1,59,#b2bb1b
Shaggy,2011,0,59,#b2bb1b
Shaggy,2012,2,61,#b2bb1b
Shaggy,2013,4,65,#b2bb1b
Shaggy,2014,0,65,#b2bb1b
Shaggy,2015,3,68,#b2bb1b
Shaggy,2016,1,69,#b2bb1b
Shaggy,2017,2,71,#b2bb1b
Shaggy,2018,3,74,#b2bb1b
Shaggy,2019,2,76,#b2bb1b
Shaggy,2020,1,77,#b2bb1b
Shaggy,2021,0,77,#b2bb1b
Velma,1969,0,0,#cd7e05
Velma,1970,0,0,#cd7e05
Velma,1972,0,0,#cd7e05
Velma,1973,0,0,#cd7e05
Velma,1976,1,1,#cd7e05
Velma,1977,0,1,#cd7e05
Velma,1978,0,1,#cd7e05
Velma,1979,2,3,#cd7e05
Velma,1980,0,3,#cd7e05
Velma,1984,0,3,#cd7e05
Velma,1988,4,7,#cd7e05
Velma,1989,1,8,#cd7e05
Velma,1990,0,8,#cd7e05
Velma,1991,0,8,#cd7e05
Velma,1997,0,8,#cd7e05
Velma,1998,0,8,#cd7e05
Velma,1999,0,8,#cd7e05
Velma,2000,0,8,#cd7e05
Velma,2001,0,8,#cd7e05
Velma,2002,4,12,#cd7e05
Velma,2003,3,15,#cd7e05
Velma,2004,2,17,#cd7e05
Velma,2005,3,20,#cd7e05
Velma,2006,0,20,#cd7e05
Velma,2007,0,20,#cd7e05
Velma,2008,0,20,#cd7e05
Velma,2009,0,20,#cd7e05
Velma,2010,0,20,#cd7e05
Velma,2011,0,20,#cd7e05
Velma,2012,2,22,#cd7e05
Velma,2013,1,23,#cd7e05
Velma,2014,0,23,#cd7e05
Velma,2015,5,28,#cd7e05
Velma,2016,1,29,#cd7e05
Velma,2017,6,35,#cd7e05
Velma,2018,1,36,#cd7e05
Velma,2019,1,37,#cd7e05
Velma,2020,4,41,#cd7e05
Velma,2021,0,41,#cd7e05
